epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,54714.5,0.60424,0.48673,1.01957,0.66131,0.55494,0.59349,0.41859,1.25582,1.62526,1.63595,5.2795e-05,5.2795e-05,5.2795e-05
158,55057.5,0.5932,0.47348,1.01515,0.65089,0.56022,0.59181,0.41754,1.26508,1.6378,1.64507,4.93501e-05,4.93501e-05,4.93501e-05
159,55431.2,0.59011,0.47214,1.01355,0.65119,0.55546,0.5921,0.41846,1.26279,1.64154,1.64244,4.6044e-05,4.6044e-05,4.6044e-05
160,55746.2,0.58945,0.46581,1.01115,0.65255,0.5586,0.59153,0.41752,1.26546,1.64105,1.64618,4.28777e-05,4.28777e-05,4.28777e-05
161,56135.9,0.60411,0.4766,1.01671,0.624,0.5797,0.59265,0.41579,1.26076,1.65319,1.635,3.98522e-05,3.98522e-05,3.98522e-05
162,56475.9,0.59678,0.47634,1.02001,0.6551,0.56086,0.59131,0.41551,1.25842,1.6541,1.63482,3.69683e-05,3.69683e-05,3.69683e-05
163,56777.8,0.59007,0.47692,1.0169,0.63727,0.57048,0.59135,0.41707,1.25823,1.64515,1.63829,3.4227e-05,3.4227e-05,3.4227e-05
164,57102.2,0.58457,0.465,1.01382,0.60051,0.59832,0.59106,0.41796,1.25798,1.64057,1.6393,3.16291e-05,3.16291e-05,3.16291e-05
165,57454.7,0.58488,0.47488,1.01404,0.63001,0.58249,0.59335,0.41955,1.25808,1.64175,1.63624,2.91755e-05,2.91755e-05,2.91755e-05
166,57806.4,0.58281,0.46589,1.01,0.60159,0.60105,0.59421,0.41985,1.25767,1.64397,1.63599,2.68667e-05,2.68667e-05,2.68667e-05
167,58201,0.57826,0.46423,1.01419,0.64128,0.57303,0.59257,0.41888,1.26105,1.65383,1.63853,2.47036e-05,2.47036e-05,2.47036e-05
168,58534,0.58129,0.46411,1.00543,0.66467,0.55599,0.59073,0.41787,1.25926,1.65613,1.6387,2.26868e-05,2.26868e-05,2.26868e-05
169,58852,0.57949,0.45879,1.00718,0.65108,0.56362,0.58886,0.41741,1.26044,1.65995,1.6399,2.08169e-05,2.08169e-05,2.08169e-05
170,59157,0.57827,0.46051,1.00412,0.66426,0.56263,0.59392,0.42001,1.2624,1.6557,1.6394,1.90945e-05,1.90945e-05,1.90945e-05
171,59608,0.52693,0.35537,0.94798,0.62403,0.58859,0.5961,0.41897,1.27051,1.63715,1.6567,1.75202e-05,1.75202e-05,1.75202e-05
172,59917.9,0.51797,0.35674,0.95156,0.61647,0.59027,0.59633,0.41986,1.26863,1.6212,1.66083,1.60943e-05,1.60943e-05,1.60943e-05
173,60208.5,0.51424,0.34161,0.94312,0.61831,0.58452,0.59406,0.4183,1.26648,1.61978,1.65931,1.48173e-05,1.48173e-05,1.48173e-05
