epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,93342.8,0.7963,0.52992,0.00761,0.6543,0.56624,0.60916,0.43703,1.27486,1.83944,0.01725,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258,0.00135978,0.000453258
98,94284.9,0.78103,0.50514,0.00746,0.69732,0.53381,0.60588,0.43212,1.29251,1.91018,0.01759,0.00133402,0.000444675,0.00133402,0.000444675,0.00133402,0.000444675,0.00133402,0.000444675
99,95253,0.78367,0.52953,0.00783,0.65725,0.56638,0.60877,0.43884,1.27518,1.9109,0.01734,0.00130833,0.000436109,0.00130833,0.000436109,0.00130833,0.000436109,0.00130833,0.000436109
100,96208.1,0.78644,0.51492,0.00756,0.68548,0.55509,0.60964,0.43722,1.27361,1.89191,0.01734,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565,0.00128269,0.000427565
101,97208,0.77744,0.51461,0.00765,0.66785,0.56531,0.61143,0.43506,1.28553,1.89731,0.01755,0.00125713,0.000419044,0.00125713,0.000419044,0.00125713,0.000419044,0.00125713,0.000419044
102,98181.8,0.76827,0.51192,0.00761,0.65936,0.57481,0.61838,0.44088,1.27573,1.87966,0.0175,0.00123165,0.00041055,0.00123165,0.00041055,0.00123165,0.00041055,0.00123165,0.00041055
103,99140.8,0.77152,0.5063,0.00743,0.68736,0.55113,0.60754,0.43554,1.28286,1.87231,0.01731,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084,0.00120625,0.000402084
104,100096,0.77771,0.51203,0.00762,0.672,0.54341,0.60865,0.44021,1.27597,1.84115,0.01732,0.00118095,0.000393649,0.00118095,0.000393649,0.00118095,0.000393649,0.00118095,0.000393649
105,101060,0.76215,0.49662,0.00737,0.65484,0.5737,0.60829,0.43894,1.27352,1.9561,0.01721,0.00115575,0.000385249,0.00115575,0.000385249,0.00115575,0.000385249,0.00115575,0.000385249
106,102031,0.75982,0.49642,0.00739,0.63618,0.58417,0.60667,0.43646,1.27036,1.90633,0.01718,0.00113065,0.000376885,0.00113065,0.000376885,0.00113065,0.000376885,0.00113065,0.000376885
